Class,att1,att2,att3,att4,att5,att6,att7,att9,att10,att11,att12,att15,att16,att18,att20,att21,att22,att23,att25,att26,att27,att28,att29,att30
1.0,0.5,0.4444444444444444,0.25,0.5,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,0.11764705882352941,0.68,0.27706552706552706,0.4676530863185507,0.0,0.32067789149334214,0.3333333333333333,0.3333333333333333,0.23214285714285715,0.0,0.0
0.0,0.5,0.0,0.25,1.0,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.11764705882352941,0.44,0.7104700854700855,0.4788999098286745,0.0,0.059480576647958625,0.3333333333333333,0.0,0.05357142857142857,0.0,0.0
1.0,0.5,0.0,0.25,0.0,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,1.0,0.0,1.0,0.0,0.29411764705882354,0.4,0.5245726495726496,0.4781580457414542,0.0,0.09447562451854297,1.0,1.0,0.017857142857142856,0.0,0.0
1.0,0.5,0.3333333333333333,0.25,0.5,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.5588235294117647,0.56,0.3457977207977208,0.4699852446921879,1.0,0.4199405744470122,0.3333333333333333,1.0,0.4642857142857143,0.0,1.0
1.0,1.0,0.4444444444444444,1.0,0.5,0.6666666666666666,0.6666666666666666,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.0,0.11764705882352941,0.32,0.24252136752136752,0.4625584064267563,0.0,0.0237702211951139,1.0,0.6666666666666666,0.5714285714285714,0.3333333333333333,0.0
0.0,0.25,0.3333333333333333,0.25,0.25,0.6666666666666666,0.6666666666666666,0.5,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.20588235294117646,0.6,0.5384615384615384,0.3052668251496024,0.0,0.07169582920655881,1.0,0.6666666666666666,0.44642857142857145,0.0,0.0
0.0,0.5,0.0,0.25,0.25,0.0,0.6666666666666666,0.5,0.0,0.3333333333333333,1.0,1.0,1.0,0.0,0.25,0.64,0.3002136752136752,0.15121321419788508,0.0,0.0872125013755915,0.6666666666666666,0.3333333333333333,0.10714285714285714,0.3333333333333333,0.0
1.0,0.75,0.2222222222222222,0.0,0.25,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,1.0,1.0,1.0,0.0,0.20588235294117646,0.52,0.23468660968660968,0.565833265021723,0.0,0.45234951028942444,0.0,0.3333333333333333,0.07142857142857142,0.3333333333333333,0.0
1.0,0.5,0.0,0.25,0.25,0.6666666666666666,0.6666666666666666,0.5,1.0,0.0,1.0,0.6666666666666666,1.0,0.0,0.11764705882352941,0.52,0.8116096866096866,0.46799737683416676,0.0,0.15555188731154396,0.3333333333333333,1.0,0.5892857142857143,0.0,0.0
0.0,0.75,0.0,0.25,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,0.5,0.6666666666666666,0.0,0.0,0.29411764705882354,0.6,0.5961538461538461,0.55708664644643,0.0,0.042588312974579066,1.0,1.0,0.5178571428571429,0.0,0.0
